Sl. No.,Year,"Area
affec- ted in (m.ha.)","Population
affected in (million)",Damage to Crops Area (m.ha.),Value (Rs.Crore),Damage to Houses Nos.,Value in Rs.Crore,Cattle lost nos.,Human lives lost nos.,Damage to public utilities in Rs Crore,"Total damages crops,houses& public utilities in Rs.Crore"
1,1953,0.97,6.77,0.93,29,184300,6,33,5,1.5,36.5
2,1954,2.5,7.67,1.59,15,179451,5,1944,63,1.5,21.5
3,1955,1.77,7.11,1.01,20.3,111356,1.12,57,44,0.205,21.625
4,1956,1.32,3.12,0.4,5.22,79879,0.51,138,32,Nil,5.73
5,1957,0.79,1.73,0.3,Neg,18812,Neg,18,7,Nil,Neg
6,1958,0.71,2.37,0.29,3.198,14393,Neg,Nil,6,0.01,3.208
7,1959,0.21,1.01,0.15,Neg,914,Neg,2,Nil,Nil,Neg
8,1960,1.32,2.45,0.17,Neg,15952,Neg,15,7,0.006,0.006
9,1961,1.27,4.68,0.45,13.25,31570,Neg,10105,551,Nil,13.25
10,1962,1.11,4.01,0.67,9.57,64397,0.516,25,20,0.045,10.131
11,1963,0.27,0.7,Neg,0.758,606,0.006,2,Nil,Nil,0.764
12,1964,1.12,3.81,0.53,11.088,53285,0.475,52,32,1.71,13.273
13,1965,0.43,1.83,0.11,1.804,86185,Neg,1,2,Nil,1.804
14,1966,1.53,5.87,1.12,39,56125,Neg,64,38,Nil,39
15,1967,1.25,6.43,0.73,19.34,77699,0.27,68,23,0.06,19.67
16,1968,0.73,3.56,0.19,10.14,76503,0.01,7821,13,0.01,10.16
17,1969,0.97,4.17,0.51,28.8,69247,Neg,18,31,7.2,36
18,1970,0.93,3.89,0.38,14.74,16989,0.32,1855,2,0.017,15.077
19,1971,4.26,21.71,1.55,143.912,786000,29.305,426,23,44.22,217.437
20,1972,0.22,0.9,0.02,1.62,2225,0.072,Nil,Nil,0.01,1.702
21,1973,0.73,3.14,0.35,19.706,8819,0.346,6,8,0.009,20.061
22,1974,3.14,16.43,1.75,294.95,432000,52.876,321,80,34.01,381.836
23,1975,2.31,13.24,1.1,136.553,320311,9.692,1323,148,119.518,265.763
24,1976,2.99,13.64,0.85,94.639,494060,30.035,4518,186,81.32,205.994
25,1977,1.15,3.08,0.23,11.788,19741,0.454,66,16,0.044,12.286
26,1978,2.37,12.06,0.97,94.603,310003,9.122,460,177,75.13,178.855
27,1979,0.81,3.74,0.27,19.015,27816,1.034,4,14,0.14,20.189
28,1980,1.92,7.45,1,Neg,81015,3.723,42,67,54.01,57.733
29,1981,1.26,6.95,0.77,72.132,75776,3.957,11,18,2.986,79.075
30,1982,0.93,4.68,0.32,97.004,68242,6.865,14,25,9.553,113.422
31,1983,1.47,5.07,0.37,23.434,24169,1.182,19,6,1.669,26.285
32,1984,3.05,13.5,1.59,185.439,334285,22.915,90,143,27.177,235.531
33,1985,0.79,4.9,0.42,30.342,59158,4.327,9,69,1.871,36.54
34,1986,1.755,7.27,0.75,103.66,78756,4.387,491,94,200,308.047
35,1987,4.164,24.489,2.24,501.32,1398484,217.74,4116,1116,490.55,1209.61
36,1988,1.05,6.23,0.4,49.87,14759,2.11,29,52,1.51,53.49
37,1989,0.471,1.879,0.165,7.05,7746,1.61,0,26,0.84,9.5
38,1990,0.87,3.96,0.32,18.17,11009,1.6,76,36,1.82,21.59
39,1991,0.98,4.823,0.405,23.61,27324,6.138,84,56,1.399,31.147
40,1992,0.076,0.556,0.025,0.581,1281,0.161,0,4,0.008,0.75
41,1993,0.415,1.593,0.162,66.825,41038,5.742,365,1153,0.441,73.008
42,1994,0.601,3.863,0.331,45.068,28073,2.178,34,83,1.313,48.559
43,1995,0.926,6.629,0.424,195.143,297765,75.104,3742,291,21.836,292.083
44,1996,1.189,8.709,0.734,70.315,113974,14.005,110,218,8.462,92.782
45,1997,1.471,6.965,0.655,57.377,174379,30.567,151,163,20.381,108.325
46,1998,2.512,13.47,1.284,366.967,199611,55.037,187,381,92.84,514.844
47,1999,0.845,6.566,0.304,242.039,91813,53.85,136,243,54.1,349.989
48,2000,0.779,8.241,0.425,75.534,227897,148.563,1702,308,28.547,252.644
49,2001,1.195,9.091,0.65,267.218,222008,173.584,565,231,183.538,624.34
50,2002,1.969,16.018,0.941,511.495,419014,526.215,1450,489,408.922,1446.632
51,2003,1.508,8.798,0.61,62.66,45262,20.32,108,251,1035.16,1118.14
52,2004,2.7,29.985,1.399,522.056,929773,758.095,3272,885,1030.496,2310.647
53,2005,0.46,2.639,0.135,11.64,5538,3.828,4,58,3.05,18.518
54,2006,0.182,1.089,0.086,7.06,18637,12.26,31,36,84.562,103.882
55,2007,1.88,2.78,1.06,768.378,784328,831.445,2423,1287,642.415,2242.239
56,2008,0.882,6.212,0.367,34.196,297916,84.514,878,252,97.71,216.42
57,2009,1.105,2.338,0.04,21.83,7674,5.282,2,97,5.301,32.413
58,2010,0.199,1.075,0.01,3.119,15170,7.049,0,100,1.592,11.76
59,2011,0,0.581,0.163,59.87,34906,17.792,39,143,25.786,103.448
60,2012,0,0.244,0.008,1.638,1762,1.312,0,8,1.622,4.572
61,2013,0.6,6.9,0.6,105.72,156518,24.02,6548,218,16.61,146.35
62,2014,3.9,0.312,0.5,176.4,13662,10.78,34,158,5.4,192.58
63,2015,,0.279,0,,518,0.694,1,27,62,62.694
64,2016,0.41,8.823,0.41,443.53,16717,44.262,246,254,40.97,528.762
,TOTAL,81.694,404.077,36.693,6266.684,9864595,3330.375,56351,10574,5033.111,14630.171
,Average,1.297,6.314,0.582,106.215,154134,59.471,909,173,88.3,235.97
,Maximum,4.26,29.985,2.24,768.378,1398484,831.445,10105,1287,1035.16,2310.647
,(Year),(1971),2004,(1987),(2007),(1987),(2007),(1961),(2007),(2003),(2004)
