Sl. No.,Year,"Area
affec- ted in (m.ha.)","Population
affected
in (million)",Damage to Crops Area (m.ha.),Value (Rs.Crore),Damage to Houses Nos.,Value (Rs.Crore),"Cattle
lost nos.","Human
lives lost nos.","Damage to
public utilities (Rs.Crore)","Total damages
crops,houses & public utilities (Rs.Crore)"
1,1953,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
2,1954,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
3,1955,0.66,2,0.41,7.88,129591,1.76,4641,79,0.75,10.39
4,1956,0.33,0.9,0.09,2.15,3187,0.09,1192,Nil,Nil,2.24
5,1957,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,1958,0.03,0.2,0.02,0.1,393,0.01,Nil,Nil,Nil,0.11
7,1959,1.2,1.01,0.2,3.24,44872,0.22,3056,93,Nil,3.46
8,1960,1.4,2.07,0.59,20,100000,10,2670,45,3.71,33.71
9,1961,1.18,1.41,0.51,0,43715,Neg,109,19,0.017,0.017
10,1962,Neg,0,Neg,0.012,45,Neg,95,Nil,Neg,0.012
11,1963,0.12,0.53,0.09,1,4811,0.06,349,3,0.027,1.087
12,1964,0.16,Nil,0.16,2.02,763,Neg,465,11,0.37,2.39
13,1965,0.08,0.31,0.03,Neg,537,0.014,4,Nil,0.01,0.024
14,1966,0.01,Nil,0.01,Neg,33,Neg,Nil,Nil,Nil,Nil
15,1967,0.76,1.97,0.27,8.75,3930,1.11,2873,40,2.39,12.25
16,1968,0.99,2.92,0.37,8.58,113707,0.15,29509,126,5.18,13.91
17,1969,0.65,2.37,0.28,11.02,50113,0.53,1172,25,3.85,15.4
18,1970,0.32,2.32,0.32,12.25,15554,0.21,51,8,0.9,13.36
19,1971,0.61,2.68,0.47,19.57,95043,1.3,265,26,10.84,31.71
20,1972,1.2,7.34,1.2,30.78,419171,3.36,24584,140,12.76,46.9
21,1973,1.34,4.83,0.72,37.98,156839,1.17,7499,84,12.25,51.4
22,1974,0.19,1.46,0.12,0.015,14734,0.2,27,7,2.69,2.905
23,1975,0.51,3.14,0.42,23.21,144153,4.52,4996,77,19.27,47
24,1976,Neg,0.05,Neg,0.05,1375,0.008,153,3,0.34,0.398
25,1977,0.31,1.91,0.19,7.51,18674,0.58,781,44,11.13,19.22
26,1978,0.41,2.85,0.33,11.17,27431,1.18,272,21,32.54,44.89
27,1979,0.3,1.56,0.18,0.5,1939,0.088,85,16,4.64,5.228
28,1980,0.36,2.64,0.36,40.48,90000,16.35,8280,73,60.33,117.16
29,1981,0.09,0.15,0.04,0.06,1720,0.004,0,15,1.13,1.194
30,1982,1.2,5.4,1.2,Neg,800000,Neg,39692,131,331.45,331.45
31,1983,0.22,1.09,0.09,3.26,5581,0.23,438,16,7.98,11.47
32,1984,0.7,3.91,0.42,30.45,23499,2.31,465,28,128.83,161.59
33,1985,0.91,6.88,0.63,60.15,151439,20.69,6947,95,142.23,223.07
34,1986,1.24,8.9,0.79,9.44,148192,12.88,819,29,85,107.32
35,1987,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
36,1988,0.14,1.96,0.1,2.1,24087,1.02,353,9,32.84,35.96
37,1989,0.009,0.63,0.009,Nil,Nil,Nil,Nil,1,Nil,0
38,1990,0.78,9.8,0.48,0,287369,0,29692,120,0,0
39,1991,1.095,7.479,0.54,83.668,108084,12.279,1569,54,251.588,347.535
40,1992,0.062,4.5,0.037,37.1,166000,13.28,1397,43,185,235.38
41,1993,0.175,0,0.175,0,Nil,0,0,Nil,7.645,7.645
42,1994,0.465,5.171,0.465,0,10738,0,10,88,0,0
43,1995,0,0,0,0,0,0,0,0,0,0
44,1996,0.033,0.31,0.02,0,684,0,1,0,0,0
45,1997,0.775,5.282,0.444,40.234,50408,7.373,61,34,288.5,336.107
46,1998,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
47,1999,0.15,1.773,0.15,1.483,7488,272.114,Nil,10,53.992,327.589
48,2000,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
49,2001,0.9,9.677,0.9,66.74,212296,56.36,18149,99,1319.88,1442.98
50,2002,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
51,2003,0.478,7.893,0.891,253.83,185483,63.11,1994,93,1193.72,1510.66
52,2004,0,0.31,0.037,7.9,2097,0.53,0,10,66.19,74.62
53,2005,0.23,2.595,0.094,0,18099,0,32,10,243.35,243.35
54,2006,0.465,6.739,0.249,0,130460,0,1656,105,2042.53,2042.53
55,2007,0,4.814,0.319,,104712,,21674,91,1226.28,1226.28
56,2008,1.722,6.017,0.438,641.25,258155,297.78,51840,110,2219.38,3158.41
57,2009,0.141,0.661,0.002,0,13547,0,0,59,483.02,483.02
58,2010,0,0.089,0.034,0,5402,7.56,1454,14,320,327.56
