Sl. No.,Year,"Area affected in
m. ha.","Population affected
in
million","Damage to Crops Area in
m. ha","Value in
Rs.Crores",Damage to Houses Nos.,"Value in
Rs.Crores",Cattle lost nos.,"Human lives lost
Nos.","Damage to public utilities in
Rs.Crores","Damage to crops houses,public utilities in
Rs.Crores(6+8+11)"
1,1953,0.91,14.37,0,10.82,80443,1.11,341,23,1,12.93
2,1954,1.35,3.4,0.74,6.82,19550,0.19,1555,27,1.5,8.51
3,1955,4.13,14,2.57,26.38,768264,2.82,5694,231,0.6,29.8
4,1956,2.5,8.6,0,21.48,401889,6.6,2595,155,0.5,28.58
5,1957,1.7,4.19,0,10.67,263151,4.62,1281,193,0,15.29
6,1958,2.18,3.56,0,0,130097,0,1931,143,0,0
7,1959,0.07,0.22,0,0,116,0,0,1,0.014,0.014
8,1960,3.25,0,0.59,0,374897,0,1417,229,0,0
9,1961,2.29,0,0.22,0,316560,0.027,1470,334,0.27,0.297
10,1962,1.06,1.79,1.06,19.351,65315,1.172,149,28,0.103,20.626
11,1963,1.26,6.38,1.2,18.306,313231,2.741,2013,292,0.456,21.503
12,1964,1.06,4.3,0.77,11.208,39648,0.32,87,69,0.004,11.532
13,1965,0.08,0.33,0,0.11,1136,0.01,6,4,0.01,0.13
14,1966,0.52,1.36,0.28,6.909,42712,0.708,161,40,Neg,7.617
15,1967,3.43,8.76,1.52,55.55,328013,5.003,1677,226,1.053,61.606
16,1968,0.8,1.32,0.4,8.31,19577,0.393,200,66,0.128,8.831
17,1969,2.4,5.74,1.31,34.601,149204,2.765,3187,113,1.087,38.453
18,1970,2.91,10.8,1.7,43,553000,20.8,3913,344,5.28,69.08
19,1971,5.26,20.81,2.65,108.12,744251,20.257,3064,605,46.1,174.477
20,1972,0.31,2.1,0.18,2.842,11822,1.01,1052,69,0,3.852
21,1973,2.63,12.84,1.5,67.45,193362,10.768,269,192,3.49,81.708
22,1974,1.35,5.22,0.9,57.517,85234,12.785,23,37,35,105.302
23,1975,2.18,6.28,1.38,30.78,106679,2.908,473,148,5.08,38.768
24,1976,3.63,14.15,2.16,186,290757,22.5,2425,257,38.68,247.18
25,1977,1.3,3.78,0.61,75,50648,5,887,157,16.6,96.6
26,1978,7.34,22.59,3.93,382,1197552,90,7430,739,89.36,561.36
27,1979,0.7,2.11,5.2,51.769,22958,1.722,222,77,0,53.491
28,1980,5.86,30.35,3.09,190.118,1923134,100.124,5244,1309,75.95,366.192
29,1981,2.99,14.53,1.64,365,491102,122.776,1346,427,117.2,604.976
30,1982,5.5,23.3,3.3,330.87,1018209,254.55,2517,562,177.41,762.83
31,1983,3.86,15.39,2.5,624.69,516515,129.13,2101,519,255.51,1009.33
32,1984,1.69,6.71,1.04,260.37,85960,21.49,432,209,182.2,464.06
33,1985,4.03,19.56,2.42,967.53,620379,248.08,3808,804,1185.33,2400.94
34,1986,1.04,5.94,0.65,258,51411,20.564,725,223,191.65,470.214
35,1987,0.6,3.84,0.321,128.33,144160,38.94,1021,165,120.98,288.25
36,1988,3.18,19.4,1.71,685.76,371046,148.42,2102,765,0,834.18
37,1989,1.003,4.861,0.652,0,77625,0,516,168,0,0
38,1990,2.208,8.876,1.204,481.758,151301,60.52,3028,492,23.987,566.265
39,1991,0.811,2.418,0.291,116.4,78000,31.35,369,215,0,147.75
40,1992,0.696,3.763,0.295,181.28,35900,55.58,1167,153,298.73,535.59
41,1993,1.444,7.423,0.749,368.06,174430,118.63,2029,389,211.22,697.91
42,1994,0.985,3.908,0.598,295.201,74303,37.121,4855,317,311.4,643.722
43,1995,1.279,3.691,0.799,0,88455,0,1259,425,0,0
44,1996,1.124,7.22,0.678,678,70818,70,1232,313,0,748
45,1997,0.349,1.021,0.155,0,5123,0,114,102,0,0
46,1998,2.523,12.191,1.415,224.523,384896,59.346,3385,1390,340.9,624.769
47,1999,0.054,0.184,0.041,10.277,1139,3.005,9,86,0,13.282
48,2000,0.784,6.387,0.472,17.389,40696,13.539,997,453,0.24,31.168
49,2001,0.463,2.715,0.29,44.745,44244,17.85,312,270,3252.83,3315.425
50,2002,0.111,0.386,0.062,2.583,3462,1.202,36,33,0.01,3.795
51,2003,2.355,13.476,1.286,448.574,361323,99.859,3184,953,127.444,675.877
52,2004,0,0,0,0,0,0,0,0,0,0
53,2005,0.51,0.06,0,0,9688,1.33,1,13,2.44,3.77
54,2006,0,0,0,0,0,0,0,0,0,0
55,2007,0,3,2.955,0,203700,0,141,170,0,0
56,2008,0,2.576,0.422,189.018,340761,213.054,3490,1056,322.488,724.56
57,2009,0,1.835,0.461,42.102,2893,4.277,101,254,63.722,110.101
58,2010,0,0,0,0,0,0,0,12,0,0
59,2011,0.525,2.306,0.396,199.94,313436,79.368,239,729,1159.13,1438.438
60,2012,0,0.684,0.124,6.979,5533,11.199,70,105,99.699,117.877
61,2013,0.349,3.544,0.349,0,79600,0,550,380,0,0
62,2014,0.45,1.398,0.45,0,3652,0,73,106,0,0
63,2015,,0.01,,,6,,,,,0
64,2016,0.569,2.032,0.277,123.776,35525,,293,74,,123.776
,Total,103.942,413.985,61.962,8476.266,14378491,2177.533,90268,18440,8766.785,19420.584
,Average,1.65,6.469,0.984,134.544,224664,35.121,1433,293,143.718,303.447
,Maximum,7.34,30.35,5.2,967.53,1923134,254.55,7430,1390,3252.83,3315.425
,(Year),1978,1980,1979,1985,1980,1982,1978,1998,2001,2001
