Sl. No.,Year,"Area
affec-
ted in m.ha.","Population
affected
in million",Damage to  o Crops Area (m.ha.),Value in (Rs.Crore),Damage to Houses Nos.,Value in (Rs.Crore),"Cattle
lost nos.","Human
lives
lost nos.","Damage to
public
utilities (Rs.Crore)","Total damages
crops,houses &
public utilities (Rs.Crore)"
1,1953,Nil,Nil,Neg,0.05,Neg,0.01,1000,Nil,0.1,0.16
2,1954,0.42,Nil,Neg,7.6,Neg,1,1500,142,2,10.6
3,1955,0.35,Nil,Neg,0.5,600,Neg,20,2,1,1.5
4,1956,2.65,0.9,0.4,7.42,199556,Neg,2004,55,0.33,7.75
5,1957,1.16,0.1,Neg,0.007,225,Neg,0,2,Nil,0.007
6,1958,0.45,1.39,0.13,5.55,42935,0.3,5092,11,Nil,5.85
7,1959,1.12,0.4,0.61,44,504464,7.22,8473,107,Nil,51.22
8,1960,0.19,0.08,0.02,Neg,1800,Neg,16,Nil,Nil,Neg
9,1961,0.2,0.01,0.01,Neg,Nil,Nil,Nil,Nil,Nil,Neg
10,1962,0.16,0.25,0.02,6.17,2645,0.023,280,Nil,0.075,6.268
11,1963,0.09,0.12,0.03,0.15,1300,0.006,Nil,Nil,Neg,0.156
12,1964,0.1,0.19,0.02,0.73,8298,0.12,14,Nil,0.44,1.29
13,1965,0.12,0.75,0.06,2.85,4457,0.04,28,Nil,0.019,2.909
14,1966,0.13,0.36,0.03,1.59,7271,0.15,1,2,0.02,1.76
15,1967,0.94,1.63,0.42,19.62,84440,2.39,745,27,1.88,23.89
16,1968,2.17,8.13,0.95,53.56,269955,25.94,67758,2730,6.57,86.07
17,1969,0.53,1.16,0.17,78.02,87845,3.49,102,30,2.88,84.39
18,1970,2.01,9.77,0.9,60.89,501170,11.25,4014,85,14.85,86.99
19,1971,2.06,11.18,1.08,123.93,669709,21.26,3164,153,13.81,159
20,1972,0.44,1.72,0.14,10.09,75453,1.92,2521,19,3.06,15.07
21,1973,0.87,2.93,0.42,34.93,91879,3.34,1291,28,5.98,44.25
22,1974,0.38,1.66,0.21,26.26,99049,0.15,1524,33,0.41,26.82
23,1975,0.2,0.71,0.04,3.94,12985,0.33,28,7,0.24,4.51
